nickname,first_name,last_name,email,password,date_of_birth,avatar,bio,is_private
ckent,Clark,Kent,ckent@example.com,password123,2002-10-25,,,false
bwayne,Bruce,Wayne,bwayne@example.com,password123,1993-02-08,https://api.dicebear.com/7.x/adventurer/svg?seed=Victoria,Life find help staff day inside.,true
dprince,Diana,Prince,dprince@example.com,password123,1987-01-18,,Fight common heavy food level the door tonight.,false
pparker,Peter,Parker,pparker@example.com,password123,1977-04-30,https://api.dicebear.com/7.x/adventurer/svg?seed=Meghan,Official ask large defense agree spring.,false
tstark,Tony,Stark,tstark@example.com,password123,1983-02-23,,Western analysis senior military nor company.,true
nromanoff,Natasha,Romanoff,nromanoff@example.com,password123,1992-10-24,https://api.dicebear.com/7.x/adventurer/svg?seed=Paul,Head ago apply situation audience.,true
srogers,Steve,Rogers,srogers@example.com,password123,1979-07-12,https://api.dicebear.com/7.x/adventurer/svg?seed=Amber,American person film argue particular.,false
wmaximoff,Wanda,Maximoff,wmaximoff@example.com,password123,1999-01-07,,Him standard what leave where ok dark without.,true
sstrange,Stephen,Strange,sstrange@example.com,password123,1987-08-16,,Himself grow special career call left.,false
ballen,Barry,Allen,ballen@example.com,password123,1986-12-06,,Collection believe he who produce account speech dog.,false
acurry,Arthur,Curry,acurry@example.com,password123,2002-02-01,,Because plant table statement financial.,false
hjordan,Hal,Jordan,hjordan@example.com,password123,1977-07-30,,Analysis write election owner.,false
jgrey,Jean,Grey,jgrey@example.com,password123,2002-04-07,,,true
ssummers,Scott,Summers,ssummers@example.com,password123,1993-03-02,https://api.dicebear.com/7.x/adventurer/svg?seed=Michael,,true
lhowlett,Logan,Howlett,lhowlett@example.com,password123,1991-02-21,https://api.dicebear.com/7.x/adventurer/svg?seed=Jennifer,Less quality fall enter.,false
cxavier,Charles,Xavier,cxavier@example.com,password123,1988-11-08,https://api.dicebear.com/7.x/adventurer/svg?seed=Alison,Alone threat seek.,true
skyle,Selina,Kyle,skyle@example.com,password123,1979-04-01,,Third well so star hear century space.,false
vstone,Victor,Stone,vstone@example.com,password123,1981-04-09,https://api.dicebear.com/7.x/adventurer/svg?seed=Melanie,Clear development likely good daughter ability under.,false
bbatson,Billy,Batson,bbatson@example.com,password123,2004-02-17,https://api.dicebear.com/7.x/adventurer/svg?seed=Tommy,Race note go box.,true
kzor-el,Kara,Zor-El,kzor-el@example.com,password123,1999-09-30,,,true
rpadilla,Rachel,Padilla,rpadilla@example.com,password123,1995-12-14,https://api.dicebear.com/7.x/adventurer/svg?seed=Heather,Group south take minute organization cause more.,false
ccain,Christopher,Cain,ccain@example.com,password123,2006-07-21,https://api.dicebear.com/7.x/adventurer/svg?seed=Matthew,Total play prevent group end.,true
lmclaughlin,Lance,Mclaughlin,lmclaughlin@example.com,password123,1992-03-08,,Stage start sell way part and challenge food.,false
jwhite,Julie,White,jwhite@example.com,password123,1984-11-20,https://api.dicebear.com/7.x/adventurer/svg?seed=James,Size car call game whatever him animal people.,true
ahansen,Alexis,Hansen,ahansen@example.com,password123,2006-06-06,,Size remain religious staff north business list.,false
jgalvan,Jacob,Galvan,jgalvan@example.com,password123,1996-03-11,,Result follow natural center song.,false
rmiller,Ronald,Miller,rmiller@example.com,password123,1997-03-29,https://api.dicebear.com/7.x/adventurer/svg?seed=Rachel,,true
jrose,John,Rose,jrose@example.com,password123,1999-03-20,https://api.dicebear.com/7.x/adventurer/svg?seed=Nicholas,,false
